Source,Target
-2115750060,-2069348475
-1895974276,-2069348475
-1342009118,-2069348475
1933612750,-2069348475
-916346253,-2069348475
-623414321,-2069348475
1047440147,-2069348475
72,-2069348475
-1966751363,-2069348475
45678,-2069348475
682779065,-2069348475
-2076514246,-2069348475
3737,-2069348475
39641188,-2069348475
3737,-2054769321
45678,-2054769321
72,-2024387229
45678,-2024387229
3737,-2024387229
3737,-2010434654
-2010434654,-2010434654
683100442,-2010434654
-1596528153,-2010434654
45678,-2010434654
-1214413802,-2010434654
72,-2010434654
72,-1990775031
45678,-1990775031
3737,-1990775031
72,-1969607806
3737,-1969607806
472939389,-1944166317
3737,-1944166317
472939390,-1944166317
869753252,-1944166317
2078217201,-1944166317
-874535676,-1944166317
72,-1944166317
45678,-1944166317
-1726087879,-1944166317
-1831546126,-1944166317
-241626586,-1944166317
472939391,-1944166317
575500500,-1944166317
1131175345,-1944166317
2081067267,-1944166317
-267218713,-1944166317
3737,-1940056308
72,-1940056308
45678,-1940056308
-582010711,-1891279277
45678,-1891279277
683100442,-1891279277
72,-1891279277
3737,-1891279277
-1184099348,-1891279277
72,-1866498905
3737,-1866498905
3737,-1855510363
-672561485,-1855510363
72,-1855510363
45678,-1855510363
45678,-1800043641
-655573140,-1800043641
72,-1800043641
3737,-1800043641
-1050918749,-1747664781
72,-1747664781
-110182308,-1747664781
3737,-1747664781
-837884014,-1747664781
45678,-1747664781
-2094045438,-1747664781
72,-1747664780
-2094045438,-1747664780
-1854767153,-1747664780
3737,-1747664780
45678,-1747664780
-244861107,-1709326967
45678,-1709326967
72,-1709326967
3737,-1709326967
72,-1557140841
1158256695,-1515390381
3737,-1515390381
72,-1515390381
45678,-1515390381
45678,-1490232341
72,-1490232341
970471154,-1490232341
72,-1392951766
683100442,-1392951766
72,-1378631890
-1378631890,-1378631890
3737,-1378631890
-1150826838,-1310674551
72,-1310674551
45678,-1310674551
246568665,-1310674551
3737,-1310674551
1182245226,-1310674551
-1833283096,-1310674551
-1405451359,-1310674551
-1508000805,-1310674551
1947616474,-1310674551
-1280121671,-1280121671
3737,-1280121671
1369397729,-1280121671
-1184099541,-1280121671
-214166236,-1280121671
-176744094,-1280121671
72,-1280121671
-1854767153,-1280121671
-1525675464,-1280121671
45678,-1280121671
-1250851679,-1250851679
45678,-1250851679
72,-1250851679
-1966751363,-1250851679
3737,-1250851679
303176017,-1250851679
-1854767153,-1184099829
-1053872797,-1184099829
72,-1184099829
3737,-1184099829
72,-1184099541
45678,-1184099541
-1081363099,-1184099541
3737,-1184099541
72,-1184099355
1835673476,-1184099355
1685012070,-1184099355
3737,-1184099355
45678,-1184099355
683100442,-1175589357
1323333446,-1175589357
3737,-1175589357
45678,-1175589357
72,-1175589357
-1530956812,-1175589357
748307027,-1175589357
72,-999542154
72,-950849253
3737,-950849253
45678,-950849253
64715,-927160238
-853531852,-927160238
683100442,-927160238
-1854767153,-927160238
-1452487438,-927160238
-853531849,-927160238
45678,-927160238
3737,-927160238
72,-927160238
1323333446,-927160238
1096068476,-916153878
3737,-916153878
72,-916153878
45678,-916153878
2105922218,-916153878
-1184099355,-837884014
3737,-837884014
483751924,-837884014
72,-837884014
45678,-837884014
-1720262290,-792488607
-862402699,-792488607
45678,-792488607
3737,-792488607
512251727,-792488607
958052278,-792488607
72,-792488607
45678,-766578655
1002106690,-766578655
-1411491114,-766578655
-1349393601,-766578655
-1085029383,-766578655
72,-766578655
3737,-766578655
72,-680585036
-1966751363,-680585036
3737,-680585036
-623414321,-680585036
72,-664044680
-664044680,-664044680
45678,-664044680
1882989664,-664044680
3737,-664044680
-1854767153,-664044680
1814501884,-664044680
-629633847,-629633847
3737,-629633847
-1966751363,-629633847
-623414321,-629633847
72,-629633847
72,-600028802
72,-587385165
3737,-582010711
1202351809,-582010711
72,-582010711
45678,-582010711
-965235444,-577217583
440050313,-577217583
45678,-577217583
1809964861,-577217583
-860989864,-577217583
-1854767153,-577217583
3737,-577217583
683100442,-577217583
1096068476,-577217583
72,-577217583
857613704,-577217583
3737,-548756796
72,-548756796
3737,-489740380
45678,-489740380
72,-489740380
72,-477243281
3737,-477243281
72,-414341470
2095,-414341470
3737,-414341470
45678,-414341470
683100442,-405739121
-405739121,-405739121
45678,-405739121
3737,-405739121
72,-405739121
3737,-320662007
45678,-320662007
72,-320662007
3737,-290785352
45678,-290785352
72,-290785352
-1949010811,-216362263
72,-216362263
45678,-216362263
-582010711,-216362263
3737,-216362263
-1184099829,-216362263
683100442,-216362263
72,-214166205
-325889175,-176744094
2054639375,-176744094
45678,-176744094
72,-97888409
-2089983065,-44044083
72,-44044083
72,-7203740
45678,-7203740
3737,-7203740
2081067267,-7203740
1322560674,-7203740
45678,-3553910
857613704,-3553910
72,-3553910
-816871181,-3553910
-2011454831,-3553910
472939389,-3553910
1536952667,-3553910
458275676,-3553910
346185981,-3553910
1972247671,-3553910
3737,-3553910
-1854767153,18739643
-1150605816,18739643
-1009380982,18739643
335922575,18739643
403149652,18739643
620463573,18739643
683100442,18739643
832282677,18739643
1168165858,18739643
-1192449731,18739643
-437812756,18739643
-70923229,18739643
196586117,18739643
-1658049477,18739643
-232800897,18739643
3737,18739643
45678,18739643
18739643,18739643
69647780,18739643
341808549,18739643
482439428,18739643
686885799,18739643
1093666029,18739643
1601742098,18739643
-695204064,18739643
-598482912,18739643
2713,18739643
1202351809,18739643
1808459929,18739643
-1683075162,18739643
-1605408874,18739643
-421924825,18739643
165005102,18739643
1116025030,18739643
1529326256,18739643
1598105746,18739643
-1676407789,18739643
-1480096252,18739643
-949816374,18739643
-865960295,18739643
-812210653,18739643
-788416051,18739643
-586954550,18739643
622597019,18739643
1116025029,18739643
1393713412,18739643
1700885397,18739643
-916346253,18739643
-582010711,18739643
72,18739643
89550543,18739643
474651243,18739643
610965781,18739643
1707949268,18739643
-2109970116,18739643
-1508054033,18739643
-610157286,18739643
-545164699,18739643
-537460567,18739643
-443215343,18739643
64715,18739643
162214379,18739643
1058369043,18739643
1116142803,18739643
1800221130,18739643
1983022311,18739643
2036111245,18739643
2066034775,18739643
72,96046475
3737,96046475
45678,96046475
96046475,96046475
72,182221674
45678,182221674
-943622305,182221674
3737,182221674
-1214413802,194385875
72,194385875
3737,194385875
45678,194385875
683100442,194385875
-1184099541,194385875
-176744094,194385875
3737,284350777
208033030,284350777
72,284350777
528397571,284350777
45678,284350777
-1854767153,373949484
72,373949484
373949484,373949484
85704,373949484
45678,373949484
3737,373949484
115030584,434028064
305411622,434028064
45678,434028064
683100442,434028064
-183423977,434028064
72,434028064
3737,440050313
-1878510362,440050313
72,440050313
-1633949380,440050313
45678,440050313
-2091057170,501925981
165005102,501925981
1368731780,501925981
1601742098,501925981
1637984736,501925981
1646576643,501925981
45678,501925981
-1281627563,501925981
2713,501925981
3737,501925981
-2030837323,501925981
-582010711,501925981
-581206341,501925981
72,501925981
501925981,501925981
-1854767153,501925981
2095,501925981
1942640278,501925981
-2146345676,501925981
-1594797163,501925981
683100442,501925981
-717057007,501925981
72,511453062
-190113873,511453062
-1747664804,511453062
45678,511453062
3737,511453062
181460410,511453062
72,528397571
3737,530020572
72,530020572
45678,530020572
45678,551509584
-824161674,551509584
72,551509584
72,557746499
45678,557746499
1181262216,557746499
3737,557746499
72,570490174
45678,600540397
72,600540397
3737,600540397
3737,632750682
45678,632750682
72,632750682
-983800684,662091660
66883,662091660
-548756796,662091660
45678,662091660
-1530956812,662091660
1323333446,662091660
72,662091660
1202351809,662091660
-405739121,662091660
3737,662091660
671954723,662091660
683100442,662091660
-1530956812,683100442
1661874049,683100442
-537460567,683100442
-190113873,683100442
2713,683100442
683100442,683100442
-1267922430,683100442
-1214413802,683100442
3737,683100442
1459012808,683100442
-916346253,683100442
468793083,683100442
610965781,683100442
-1854767153,683100442
-1147076481,683100442
748307027,683100442
1601742098,683100442
1637984736,683100442
-1424937034,683100442
45678,683100442
460631702,683100442
1028495838,683100442
-446799918,683100442
2058343474,683100442
-1570951909,683100442
-1138536251,683100442
72,683100442
45678,808348786
72,808348786
-860989864,808348786
3737,808348786
490040879,857613704
683100442,857613704
-989894085,857613704
-591901448,857613704
72,857613704
45678,857613704
759076545,857613704
857613704,857613704
1323333446,857613704
-1614369135,857613704
-582010711,857613704
2095,857613704
238470959,857613704
798144682,857613704
1675512532,857613704
1947609487,857613704
3737,857613704
150524928,857613704
1096068476,857613704
-1683075162,857613704
2713,857613704
18739643,857613704
748307027,857613704
-1854767153,857613704
-1847330514,857613704
465799210,857613704
-394032302,937487721
72,937487721
1363367480,937487721
72,958052278
-1313931467,958052278
-582010711,958052278
1085014414,958052278
1354901261,958052278
1768238311,958052278
-792488607,958052278
-655573140,958052278
3737,958052278
45678,958052278
683100442,958052278
-394726381,958052278
1323333446,958052278
72,970848901
45678,970848901
3737,970848901
45678,1057832827
72,1057832827
-773079644,1158256714
45678,1158256714
72,1158256714
-2128387904,1158256714
-1530956812,1158256714
-409952092,1158256714
3737,1158256714
45678,1286142302
72,1286142302
857613704,1286142302
683100442,1286142302
3737,1286142302
472939390,1286142302
45678,1300817432
45678,1309647722
683100442,1309647722
72,1309647722
72,1439984039
3737,1439984039
72,1459820466
45678,1536952667
72,1536952667
3737,1614073622
72,1614073622
72,1645918548
45678,1645918548
3737,1645918548
1158256695,1645918548
-1974542081,1645918548
1546219272,1645918548
72,1647776194
45678,1647776194
3737,1647776194
-1898575483,1700215997
-1411491114,1700215997
72,1700215997
-1184099541,1700215997
3737,1700215997
1158256695,1700215997
1120903439,1700215997
-680585036,1700215997
-176744094,1700215997
45678,1700215997
748307027,1734753792
-1854767153,1734753792
-909893934,1734753792
72,1734753792
-916346253,1734753792
3737,1734753792
240063334,1734753792
1474666937,1882989664
45678,1882989664
2088441586,1882989664
72,1882989664
3737,1882989664
3737,2052576516
-1106308604,2052576516
-717057007,2052576516
72,2052576516
45678,2052576516
72,2062324505
45678,2088441586
1145476914,2088441586
1486381884,2088441586
-2049099357,2088441586
-936723822,2088441586
72,2088441586
552892287,2088441586
683100442,2088441586
-492579553,2088441586
1452499986,2088441586
3737,2088441586
-1854767153,2088441586
-1137032332,2088441586
157570569,2088441586
1567522407,2088441586
-1215835405,2088441586
-916346253,2088441586
-190113873,2088441586
-1709767590,2088441586
-529301031,2088441586
